ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
256;Kab. Purworejo;Jawa Tengah;Area 3;Jateng;25/469;18673;25995;72.68;768853;1091.49;934828751;10342;1845000;84.79;378951;353696;420386;557356;351
257;Kab. Trenggalek;Jawa Timur;Area 3;Jatim;5/152;18553;26646;69.74;730098;1147.22;842342631;9400;1913321;81.06;400493;66915;422014;555433;284
258;Kab. Pamekasan;Jawa Timur;Area 3;Jatim;11/178;17043;19367;66.26;849030;792.24;809642625;8536;1913321;129.41;454970;72044;451546;652069;368
259;Kota Batu;Jawa Timur;Area 3;Jatim;5/019;16926;81575;75.9;212793;136.74;455694746;12466;2794800;8.12;113826;131166;135392;152948;182
260;Kab. Pacitan;Jawa Timur;Area 3;Jatim;5/166;15978;28774;68.39;585083;1389.92;748480938;8527;1913321;80.82;357969;52609;339672;385340;227
261;Kab. Kulon Progo;Yogyakarta;Area 3;Jateng;88;12017;27932;74.46;436629;586.27;663335010;10041;1750500;78.06;256632;244719;247529;312160;248
262;Kota Kediri;;Area 3;Jatim;46/-;139253;484513;78.23;286543;63.4;582747476;11976;2060925;22.19;142122;188988;222760;222760;230
263;Kota Surakarta;Jawa Tengah;Area 3;Jateng;51/-;48003;92387;82.21;522598;46.01;799696465;15049;1956200;47.03;266082;127335;368062;420955;518
264;Kota Yogyakarta;Yogyakarta;Area 3;Jateng;45/-;36599;84732;86.61;373823;32.5;631639948;18678;2004000;31.62;243570;292716;282399;325595;493
265;Kota Tegal;Jawa Tengah;Area 3;Jateng;27/-;15288;61174;75.07;273572;39.68;462030024;13250;1925000;19.55;114121;49361;171390;216770;175
266;Kota Madiun;Jawa Timur;Area 3;Jatim;27/-;14108;79705;80.91;194922;33.92;476135673;15616;1954705;8.83;91730;132437;155021;155021;189
267;Kota Salatiga;Jawa Tengah;Area 3;Jateng;23/-;13316;68609;83.14;192069;57.36;427568712;15944;0;9.69;102053;136573;155902;155902;178
268;Kota Probolinggo;Jawa Timur;Area 3;Jatim;29/-;11350;47849;73.27;239396;56.67;440456818;11796;2319796;17.72;112502;130873;152488;178799;131
269;Kota Pekalongan;Jawa Tengah;Area 3;Jateng;27/-;10874;35409;74.98;307384;45.25;436146579;12680;2072000;22.16;146219;36447;179941;221768;193
270;Kota Magelang;Jawa Tengah;Area 3;Jateng;17/-;8810;72146;78.99;121273;16.06;418992998;12514;1853000;9.27;60612;27694;82089;96751;96
271;Kota Pasuruan;Jawa Timur;Area 3;Jatim;34/-;8289;41356;75.26;207753;35.29;412604511;12931;2794801;13.4;99441;121122;162554;162554;118
272;Kota Mojokerto;Jawa Timur;Area 3;Jatim;18/-;6809;52780;78.04;132181;16.47;375978526;13155;2456302;8.09;64400;85472;101975;101975;112
273;Kota Blitar;Jawa Timur;Area 3;Jatim;21/-;6792;47875;78.57;148896;32.57;402974374;13391;1954635;11.1;77018;97776;98897;124012;109
274;Kab. Bulukumba;Sulawesi Selatan;Area 4;Sulawesi;27/109;14215;33796;68.99;437841;1154.67;672997972;10513;3103800;30;199431;172444;245559;351431;295
275;Kab. Barru;Sulawesi Selatan;Area 4;Sulawesi;15/40;7271;41711;71;184199;1174.71;493676854;10923;3103800;14.44;70068;69765;103342;136614;153
276;Kota Palangka Raya;Kalimantan Tengah;Area 4;Kalimantan;30/-;18259;62601;80.77;293691;23990;606015976;14055;2931674;10.23;134616;277533;323762;326661;387
277;Kab. Nduga;Papua;Area 4;Malpua;-/248;1216;12336;31.55;106280;2168;573202494;3975;3516700;36.54;61100;697;5879;8051;1
278;Kab. Gorontalo Utara;Gorontalo;Area 4;Sulawesi;-/123;3370;29289;64.86;124704;1676.15;381954333;8921;2788826;19.56;49768;43188;69048;92351;43
279;Kab. Sidenreng Rappang;Sulawesi Selatan;Area 4;Sulawesi;38/68;13894;46010;71.21;320224;2506.19;588705480;12073;3103800;15.36;117843;143274;192137;243113;277
280;Kab. Takalar;Sulawesi Selatan;Area 4;Sulawesi;24/76;10157;34007;67.31;301087;566.51;576931979;10454;3103800;25.38;133211;119703;164273;228160;205
281;Kab. Deiyai;Papua;Area 4;Malpua;-/67;1388;18969;49.46;99111;537.39;457268042;4632;3516700;30.98;48243;74;12774;16831;1
282;Kab. Lanny Jaya;Papua;Area 4;Malpua;1/354;1828;10210;47.86;196146;2248;611251000;4350;3516700;68.62;111133;223;15309;16164;2
283;Kab. Pulang Pisau;Kalimantan Tengah;Area 4;Kalimantan;4/095;5297;41670;68.45;134246;8997;524333062;10047;2947368;5.21;69369;98303;152395;170824;96
284;Kab. Barito Utara;Kalimantan Tengah;Area 4;Kalimantan;010/093;9801;74979;70.59;154559;8300;512512783;9936;3307767;6.78;63346;126739;161503;178052;66
285;Kab. Gowa;Sulawesi Selatan;Area 4;Sulawesi;46/121;20939;27099;70.14;764809;1883.32;811842983;9394;3103800;57.68;347773;342450;459533;594148;535
286;Kab. Yalimo;Papua;Area 4;Malpua;-/300;1221;19508;48.34;101457;1253;574824986;4647;3516700;20.84;38758;23783;31022;40446;2
287;Kab. Sinjai;Sulawesi Selatan;Area 4;Sulawesi;13/67;10961;44898;67.6;259225;819.96;553586735;9439;3103800;22.06;110725;107317;145930;192637;120
288;Kab. Puncak;Papua;Area 4;Malpua;-/206;1401;12372;43.04;114488;8055;749381270;5378;3516700;42.43;66035;4117;12318;13438;1
289;Kab. Kotawaringin Timur;Kalimantan Tengah;Area 4;Kalimantan;17/168;26817;57502;71.31;429129;16796;772439994;11854;2991946;26.64;220036;191778;247838;307610;485
290;Kab. Katingan;Kalimantan Tengah;Area 4;Kalimantan;7/514;8237;48452;68.68;161969;17500;636084451;10548;2962344;8.23;81473;323518;545760;638244;103
291;Kab. Jeneponto;Sulawesi Selatan;Area 4;Sulawesi;31/82;10090;27735;64.26;401844;749.79;616181444;9114;3103800;53.24;171319;146592;211423;308151;249
292;Kab. Halmahera Tengah;Maluku Utara;Area 4;Malpua;0/61;2429;43595;65.42;56549;1469.93;417517843;7841;4200479;7.7;67819.5986;7650;52228;65873;7
293;Kab. Gorontalo;Gorontalo;Area 4;Sulawesi;14/191;12887;34044;68.68;393341;1750.83;622762737;9277;2788826;185.02;172213;49477;217400;302465;232
294;Kab. Gunung Mas;Kalimantan Tengah;Area 4;Kalimantan;13/114;5743;47894;70.81;135120;10805;520224021;10793;2936816;5.78;60559;786238;1084334;1329781;61
295;Kab. Sarmi;Papua;Area 4;Malpua;2/92;2816;69494;63.63;41262;17742;645243003;6600;3516700;5.7;18578;15076;19826;24536;26
296;Kab. Mamberamo Tengah;Papua;Area 4;Malpua;-/59;1164;24140;47.57;36230;1275;606244984;4462;3516700;17.72;30761;788;10554;3561;1
297;Kab. Bone Bolango;Gorontalo;Area 4;Sulawesi;5/160;4579;28402;69.98;162525;1984.31;461575596;10052;2788826;25.72;70883;22532;93465;127054;123
298;Kab. Mamuju Tengah;Sulawesi Barat;Area 4;Sulawesi;-/54;3154;23531;65.71;135027;3014.37;337153809;11111;2571328;7.95;53268.3614;49164;;102388;38
299;Kota Tarakan;Kalimantan Utara;Area 4;Kalimantan;20/-;36290;133963;75.83;242533;250.8;427504956;10894;3756825;17.33;120804;153153;39345;131024;214
300;Kab. Banggai;Sulawesi Tengah;Area 4;Sulawesi;46/291;30513;80976;70.52;362509;9672.7;820986428;9712;2343970;28.16;200140;151280;207026;263137;158
301;Kab. Morowali;Sulawesi Tengah;Area 4;Sulawesi;7/126;24327;200561;72.21;161474;3037.04;468016546;11159;2768593;16.5;57727;56175;87032;117328;97
302;Kab. Muna;Sulawesi Tenggara;Area 4;Sulawesi;26/125;6929;41466;69.02;215274;1922.16;625789665;8203;1102807;28.73;86721;83337;116840;#VALUE!;96
303;Kab. Halmahera Barat;Maluku Utara;Area 4;Malpua;0/169;2261;19111;65.31;132096;1704.2;465217012;7352;4200279;10.56;71879.289;31060;61330;79063;20
304;Kab. Soppeng;Sulawesi Selatan;Area 4;Sulawesi;21/49;10937;48184;68.67;234914;1359.44;592427212;9483;3103800;17.23;96629;88052;146578;180103;210
305;Kab. Toraja Utara;Sulawesi Selatan;Area 4;Sulawesi;40/111;9596;41504;69.33;260833;1151.47;509432943;8097;3103800;27.88;104796;86892;144677;206620;113
306;Kab. Bantaeng;Sulawesi Selatan;Area 4;Sulawesi;21/46;8781;46801;68.73;196463;395.83;478709520;11632;3103800;16.84;199431;77363;104061;157857;118
307;Kab. Jayapura;Papua;Area 4;Malpua;5/139;16429;124650;71.69;398712;11157.15;639644647;9898;3516700;16.61;63741;165537;233463;263222;116
308;Kab. Bone;Sulawesi Selatan;Area 4;Sulawesi;44/328;36035;47502;66.06;800748;4559;1015212018;8963;3103800;81.33;322096;313918;460348;625454;489
309;Kab. Kapuas;Kalimantan Tengah;Area 4;Kalimantan;17/214;16609;46289;69.48;410680;14999;795355088;11051;2909962;18.17;166956;145410;257097;305274;176
310;Kab. Tana Toraja;Sulawesi Selatan;Area 4;Sulawesi;47/112;7480;31965;68.75;280541;2054.3;549165995;7217;3103800;28.41;121006;88043;155079;203656;90
311;Kab. Kepulauan Selayar;Sulawesi Selatan;Area 4;Sulawesi;7/81;6443;47504;67.38;136818;10503.69;568560531;8970;3103800;17.04;62702;50746;74954;96447;53
312;Kab. Siau Tagulandang Biaro;Sulawesi Utara;Area 4;Sulawesi;93;2367;35642;67.64;71564;275.86;368894458;8080;no data;5.95;33638;24927;38466;56826;28
313;Kab. Wakatobi;Sulawesi Tenggara;Area 4;Sulawesi;26/75;4357;45433;69.48;111149;559.54;448618554;9204;1368288;13.75;43727;43475;67475;#VALUE!;32
314;Kota Makassar;Sulawesi Selatan;Area 4;Sulawesi;153/-;178430;116875;82.25;1425004;175.77;1286419315;16873;3191572;69.98;592517;915808;999646;1145348;1985
315;Kab. Merauke;Papua;Area 4;Malpua;11/179;16009;70398;70.09;230679;44071;1138620943;10097;3516700;22.89;113621;90635;121082;141295;132
316;Kab. Luwu;Sulawesi Selatan;Area 4;Sulawesi;20/207;15658;43250;70.51;365842;3000.25;659004993;10014;3103800;46.04;152169;133605;198931;286324;199
317;Kab. Jayawijaya;Papua;Area 4;Malpua;4/328;8340;38275;58.03;269300;7030.66;674896830;7441;3516700;81.71;136768;58369;104327;120207;34
318;Kab. Ketapang;Kalimantan Barat;Area 4;Kalimantan;9/253;27509;53646;67.17;569630;31240.74;1044411014;9163;2860323;53.45;45270;222390;292720;350707;337
319;Kab. Pinrang;Sulawesi Selatan;Area 4;Sulawesi;39/69;19630;52053;71.26;404228;1961.77;675600723;11844;3103800;33.56;151266;190709;246399;334102;295
320;Kab. Luwu Utara;Sulawesi Selatan;Area 4;Sulawesi;7/166;13047;41700;69.57;323153;7502.58;626246756;11562;3103800;42.2;147318;118203;175999;247800;128
321;Kab. Kubu Raya;Kalimantan Barat;Area 4;Kalimantan;0/117;29116;50258;67.95;608365;6958.22;729912591;8709;2433000;25.9;20576;297161;336435;407051;409
322;Kab. Bulungan;Kalimantan Utara;Area 4;Kalimantan;7/074;18265;128514;71.1;151591;139252.72;526600151;9121;3109313;13.08;63406;80113;103083;122103;90
323;Kab. Tambrauw;Papua Barat;Area 4;Malpua;-/216;236;17018;53.45;28126;11529.18;470637002;4998;3184225;4.59;6659.118;2254;9909;12608;1
324;Kab. Kolaka;Sulawesi Tenggara;Area 4;Sulawesi;35/100;26456;130900;73.45;237334;3283.59;555034971;12515;1807108;23.76;94519;109473;140465;#VALUE!;105
325;Kab. Mamberamo Raya;Papua;Area 4;Malpua;-/60;1665;69146;51.78;36230;23813.91;675263568;4581;3516700;6.98;10466;811;10857;18434;3
326;Kab. Banggai Kepulauan;Sulawesi Tengah;Area 4;Sulawesi;3/141;4037;34096;65.42;119889;2488.79;446343684;7545;no data;16.7;63278;33587;52586;69133;39
327;Kota Manado;Sulawesi Utara;Area 4;Sulawesi;87/-;37387;86217;78.93;452150;157.27;718105042;13886;no data;25.55;171155;284622;335246;356579;734
328;Kab. Minahasa Utara;Sulawesi Utara;Area 4;Sulawesi;6/126;13819;67864;73.9;224740;918.49;478884543;11405;no data;14.33;88401;110279;143931;167802;237
329;Kab. Halmahera Selatan;Maluku Utara;Area 4;Malpua;0/249;7226;30739;63.84;248142;8148.9;702340036;7068;4200479;12.41;141100.7325;52555;99820;147222;40
330;Kab. Buton Tengah;Sulawesi Tenggara;Area 4;Sulawesi;77;2370;25456;64.37;114520;958.31;344201396;7221;942427;14.4;36628;40534;57140;#VALUE!;no data
331;Kab. Sekadau;Kalimantan Barat;Area 4;Kalimantan;0/87;6449;31995;64.76;211306;5444.2;469758743;7434;2461000;11.92;37886;58230;94348;111101;95
332;Kab. Bolaang Mongondow Timur;Sulawesi Utara;Area 4;Sulawesi;-/81;2879;39761;65.99;87988;910.18;329834100;8998;no data;4.3;34770;35248;48490;57591;39
333;Kab. Buton Selatan;;Area 4;Sulawesi;70;2937;36356;64.93;95008;509.92;339720973;7263;1864454;11.5;30615;26023;47800;#VALUE!;no data
334;Kab. Bolaang Mongondow;Sulawesi Utara;Area 4;Sulawesi;2/200;8010;32325;67.89;248498;2871.65;520863307;10128;no data;18.07;111901;84566;124991;160575;111
335;Kab. Maros;Sulawesi Selatan;Area 4;Sulawesi;23/80;22718;64335;69.86;392008;1619.12;675113981;10963;3103800;34.62;151722;194610;226897;306810;370
336;Kota Kotamobagu;Sulawesi Utara;Area 4;Sulawesi;18/15;3695;28777;72.97;123469;68.06;361109537;10744;no data;7.06;61109;65503;78963;93459;128
337;Kab. Mempawah;Kalimantan Barat;Area 4;Kalimantan;7/060;8304;31427;65.74;301794;2797.88;542270990;7801;2422594.26;13.18;10154;19793;154075;197542;213
338;Kab. Bolaang Mongondow Selatan;Sulawesi Utara;Area 4;Sulawesi;-/81;2084;31540;65;69538;1615.86;333549036;8837;no data;8.53;28510;21005;31317;43023;35
339;Kab. Maybrat;;Area 4;Malpua;1/259;737;18029;59.52;42738;5461.69;410834045;5336;3184225;12.8;22676.1725;7628;22726;26647;5
340;Kab. Malinau;Kalimantan Utara;Area 4;Kalimantan;0/109;10646;117790;71.94;82257;42620.7;785670193;9611;3185837;6.16;39203;41930;53295;63791;83
341;Kab. Kepulauan Sangihe;Sulawesi Utara;Area 4;Sulawesi;22/145;4248;32388;70.73;139009;461.11;504778603;11427;no data;14.64;64335;47996;78483;101319;40
342;Kab. Halmahera Timur;Maluku Utara;Area 4;Malpua;0/102;3500;36841;66.75;91454;6571.37;449275611;7876;4200479;14.97;51004.926;8002;48663;62637;20
343;Kab. Minahasa Tenggara;Sulawesi Utara;Area 4;Sulawesi;9/135;5112;47821;70.51;116070;710.83;388590506;10408;no data;13.73;49627;49843;59928;78888;64
344;Kab. Pegunungan Bintang;Papua;Area 4;Malpua;-/277;1916;25275;45.44;77619;15682;780715539;5409;3516700;23.03;46491;7129;16277;16983;3
345;Kab. Morowali Utara;Sulawesi Tengah;Area 4;Sulawesi;3/122;11767;91700;68.36;120536;10004.28;541152527;8985;2307159;18.38;67436;45801;66152;89374;no data
346;Kab. Kepulauan Tanimbar;Maluku;Area 4;Malpua;2/080;2687;23778;62.86;123319;4466;529865897;6297;4200279;30.74;56787;23909;52858;83168;39
347;Kab. Barito Selatan;Kalimantan Tengah;Area 4;Kalimantan;07/086;6363;46512;70.22;130887;8830;527224632;11486;3244837;6.12;66311;56290;77794;92833;64
348;Kab. Kayong Utara;Kalimantan Barat;Area 4;Kalimantan;0/43;4144;36761;62.68;126318;4568.26;449210743;7842;2714750;10.9;60535;10483;58767;88820;88
349;Kab. Maluku Tenggara;Maluku;Area 4;Malpua;1/190;3231;32374;66.2;121258;1031.81;461412381;7545;4200279;22.59;46185;81364;55369;81364;38
350;Kab. Dogiyai;Papua;Area 4;Malpua;-/79;1310;13386;54.84;115953;4237.4;462198879;5373;3516700;28.31;57691;443;7224;7170;7
351;Kab. Maluku Barat Daya;Maluku;Area 4;Malpua;1/117;1656;22646;61.9;81675;4581.06;535779323;6890;4200279;21.37;36482;41600;33842;41600;7
352;Kab. Minahasa Selatan;Sulawesi Utara;Area 4;Sulawesi;10/167;8601;40824;72.11;236210;1409.97;512617579;11481;no data;19.38;103336;104453;138919;177422;149
353;Kab. Bolaang Mongondow Utara;Sulawesi Utara;Area 4;Sulawesi;1/106;2488;30976;66.99;82859;1680;354425767;9062;no data;6.82;35832;29772;41192;53649;38
354;Kab. Kolaka Utara;Sulawesi Tenggara;Area 4;Sulawesi;6/127;8674;57511;69.31;137406;3391.67;461923459;10218;1323610;19.83;81413;68144;85057;#VALUE!;48
355;Kab. Sambas;Kalimantan Barat;Area 4;Kalimantan;0/193;20583;38422;67.03;628878;6716.52;818348874;9858;2580000;41.41;14261;38201;338305;425377;372
356;Kab. Minahasa;Sulawesi Utara;Area 4;Sulawesi;43/227;17120;50178;75.29;347524;1114.87;628991615;12395;no data;24.95;158771;183580;233812;279231;352
357;Kab. Asmat;Papua;Area 4;Malpua;-/221;2470;25332;50.55;109852;31983.69;828103071;5733;3516700;25.12;50813;5551;11852;12865;7
358;Kab. Balangan;Kalimantan Selatan;Area 4;Kalimantan;3/154;11040;84003;68.82;130102;1878.3;354448216;11452;2877448;7.06;65072;14485;74658;94963;66
359;Kota Parepare;Sulawesi Selatan;Area 4;Sulawesi;22/-;7230;49804;77.86;151201;99.33;439708311;13663;3103800;7.96;62183;92148;102436;125487;176
360;Kab. Sintang;Kalimantan Barat;Area 4;Kalimantan;16/390;14726;35163;66.88;421540;21638.2;847220789;8728;2596644.3;39.19;76885;26502;203961;271923;224
361;Kab. Polewali Mandar;Sulawesi Barat;Area 4;Sulawesi;23/144;13369;30208;63.84;478768;1775.65;676178238;8580;2571328;68.18;214099.7976;167400;;342480;230
362;Kab. Kapuas Hulu;Kalimantan Barat;Area 4;Kalimantan;4/278;10286;39078;65.69;252356;29842;903455857;7162;2483000;23.93;140106;26626;132621;169220;108
363;Kab. Konawe Selatan;Sulawesi Tenggara;Area 4;Sulawesi;15/336;12105;38455;68.2;308758;5779.47;675526307;9037;1396578;34.22;149547;119191;157124;#VALUE!;158
364;Kab. Konawe Kepulauan;Sulawesi Tenggara;Area 4;Sulawesi;96;1384;40457;65.41;36797;867.58;306193542;67;1640960;5.88;14921;10909;17841;#VALUE!;no data
365;Kab. Pangkajene dan Kepulauan;Sulawesi Selatan;Area 4;Sulawesi;38/65;25990;77464;68.72;346009;1236.27;715539546;11405;0;47.12;139173;142786;196441;266664;235
366;Kota Palu;Sulawesi Tengah;Area 4;Sulawesi;46/-;24816;63405;81.47;373452;395.06;650829309;15074;no data;26.89;202467;252690;265113;316987;420
367;Kota Palopo;Sulawesi Selatan;Area 4;Sulawesi;48/-;7942;43022;78.06;184428;247.52;498865870;12995;3103800;14.71;72250;113685;124239;158213;191
368;Kab. Mappi;Papua;Area 4;Malpua;2/162;2954;28595;58.15;108042;24118;708296596;6353;3516700;26.91;45299;9422;22014;25621;9
369;Kab. Murung Raya;Kalimantan Tengah;Area 4;Kalimantan;9/116;8280;68549;67.98;111274;23700;623153023;10419;3205291;7.18;53459;42685;60553;67635;40
370;Kota Baubau;Sulawesi Tenggara;Area 4;Sulawesi;43/-;9044;52644;75.9;158995;221;497754032;10483;1361006;12.53;74444;85962;101737;#VALUE!;82
371;Kab. Halmahera Utara;Maluku Utara;Area 4;Malpua;0/196;5623;29009;67.5;197385;3896.9;455192353;7414;4200479;8.75;110485.548;15847;88453;113552;53
372;Kab. Konawe;Sulawesi Tenggara;Area 4;Sulawesi;57/297;9013;35386;71.35;256758;4435.28;669706539;10126;1844032;31.63;114515;100945;141098;#VALUE!;159
373;Kab. Yahukimo;Papua;Area 4;Malpua;1/510;2420;12679;49.37;351114;17152;706692026;4875;3516700;71.76;108033;16907;41892;54300;3
374;Kab. Berau;Kalimantan Timur;Area 4;Kalimantan;10/100;39051;168114;74.71;247782;21240;558818045;12018;3386593;12.3;110963;145342;170801;194719;162
375;Kab. Enrekang;Sulawesi Selatan;Area 4;Sulawesi;17/112;7298;35362;72.76;224919;1786.01;506950764;10844;3103800;25.25;94251;89776;126285;173598;96
376;Kab. Buton Utara;Sulawesi Tenggara;Area 4;Sulawesi;90;3132;48880;67.87;66400;1864.91;392967034;747;1300328;9.13;29144;21605;34056;#VALUE!;12
377;Kota Tomohon;Sulawesi Utara;Area 4;Sulawesi;44/-;4291;40139;76.69;100334;114.2;402379553;11745;no data;6.06;46336;57713;67960;77939;104
378;Kab. Landak;Kalimantan Barat;Area 4;Kalimantan;0/156;10583;28050;65.98;397844;8915.1;614704644;7357;2549844;42.36;108530;35686;165016;219647;164
379;Kab. Toli-Toli;Sulawesi Tengah;Area 4;Sulawesi;6/103;8545;36239;65.69;224901;4079.77;588276474;8017;no data;30.51;113898;85136;114334;154687;74
380;Kota Gorontalo;Gorontalo;Area 4;Sulawesi;50/-;8456;38540;77.13;198286;79.59;492892141;12278;2788826;12.46;91182;46605;136899;163299;236
381;Kab. Majene;Sulawesi Barat;Area 4;Sulawesi;20/62;4973;28601;66.91;174154;947.84;496316515;10056;0;24.12;79802.1984;59473;;124222;86
382;Kab. Nabire;Papua;Area 4;Malpua;9/27;11099;73844;68.83;168883;11112.61;673300440;8840;3516700;36.75;77263;70432;103842;117348;66
383;Kab. Lamandau;Kalimantan Tengah;Area 4;Kalimantan;3/085;5489;66385;70.51;97358;6414;427114478;11190;3130152;2.61;41232;48668;62569;69697;45
384;Kab. Banggai Laut;Sulawesi Tengah;Area 4;Sulawesi;3/63;2437;32493;65.43;70182;725.67;390476710;7810;no data;11.09;36528;18946;31913;36216;no data
