ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
385;Kab. Fakfak;Papua Barat;Area 4;Malpua;7/142;5316;67562;68.36;84944;14320;650432018;7599;3184225;17.72;36637.1425;36658;51001;54063;42
386;Kab. Banjar;Kalimantan Selatan;Area 4;Kalimantan;13/277;16615;28254;69.18;564608;4668;689489862;12603;2877448;15.12;300296;275626;332009;430539;452
387;Kab. Kutai Barat;Kalimantan Timur;Area 4;Kalimantan;4/190;28865;195009;71.19;172035;20381.59;557072217;9712;3386593;13.78;72552;82376;118098;142408;126
388;Kab. Tolikara;Papua;Area 4;Malpua;4/541;1594;11461;49.5;236733;5588.13;693480031;4826;3516700;44.88;89530;4372;51936;58425;3
389;Kab. Bengkayang;Kalimantan Barat;Area 4;Kalimantan;2/122;8729;34195;67.87;286113;5075.48;550462013;9102;2566019;17.11;111666;105454;140136;182515;170
390;Kota Jayapura;Papua;Area 4;Malpua;25/14;32607;108619;79.94;165918;935.92;593754625;14763;3516700;33.8;146739;81150;95912;105238;313
391;Kab. Kepulauan Sula;Maluku Utara;Area 4;Malpua;0/78;2500;24298;63.53;103829;3304.32;456604857;6950;4200479;8.81;50249.3872;23780;46060;58766;14
392;Kab. Seram Bagian Barat;Maluku;Area 4;Malpua;0/92;3002;17497;65.62;209603;5033.38;567548852;8690;0;43.15;84595;49945;90297;116492;47
393;Kab. Konawe Utara;Sulawesi Tenggara;Area 4;Sulawesi;11/159;3926;61524;69.86;67618;5101.76;430241971;9165;1450700;8.78;28376;27676;37236;#VALUE!;28
394;Kab. Melawi;Kalimantan Barat;Area 4;Kalimantan;0/169;5187;24885;65.55;228017;10640.8;559720948;8332;0;25.34;45939;54682;89024;108164;55
395;Kab. Paniai;Papua;Area 4;Malpua;5/216;4183;23577;56.31;220147;6525.25;550917243;6361;3516700;65.98;109495;6299;67194;101416;3
396;Kab. Barito Timur;Kalimantan Tengah;Area 4;Kalimantan;3/100;7549;59496;71.39;112976;3834;445962799;11319;2973171;7.88;68390;49292;71395;84257;57
397;Kab. Barito Kuala;Kalimantan Selatan;Area 4;Kalimantan;6/195;8714;27787;66.22;313255;2996.46;536423276;9805;2877448;14.25;165277;128000;171134;215869;179
398;Kab. Maluku Tengah;Maluku;Area 4;Malpua;6/186;8673;23228;71.25;419654;7953.81;892490766;10210;4200279;74.18;162509;130980;205676;291715;138
399;Kab. Hulu Sungai Selatan;Kalimantan Selatan;Area 4;Kalimantan;4/144;6604;27783;68.85;227753;1804.94;485605763;12672;2877448;12.39;121705;104007;166554;166449;165
400;Kab. Kepulauan Talaud;Sulawesi Utara;Area 4;Sulawesi;11/142;2210;23902;69.4;94268;1240.4;466829170;8505;no data;8.84;55459;28141;47985;66608;18
401;Kab. Nunukan;Kalimantan Utara;Area 4;Kalimantan;8/232;25420;121093;65.79;198837;13841.9;499443560;6804;3083183;13.76;93532;97932;126621;166422;149
402;Kab. Pohuwato;Gorontalo;Area 4;Sulawesi;3/101;6623;41041;65.37;146179;4244.31;489117966;10255;2788826;28.92;64816;58000;119834;119834;43
403;Kab. Hulu Sungai Tengah;Kalimantan Selatan;Area 4;Kalimantan;8/161;7058;25909;68.84;258468;1472;489090030;12153;2877448;15.47;136185;103000;178557;178557;127
404;Kab. Parigi Moutong;Sulawesi Tengah;Area 4;Sulawesi;5/278;18729;38151;65.44;440249;5089.91;729168148;9808;2445950;78.76;260695;144089;208328;316263;236
405;Kota Bitung;Sulawesi Utara;Area 4;Sulawesi;69/-;16309;74470;74.1;224881;302.89;475308720;12193;no data;14.18;91622;123307;154154;174037;190
406;Kab. Hulu Sungai Utara;Kalimantan Selatan;Area 4;Kalimantan;5/214;4954;20854;65.59;226474;892.7;457931491;9527;0;14.72;113205;92481;164489;164118;130
407;Kab. Sorong Selatan;Papua Barat;Area 4;Malpua;2/121;1915;40807;62.42;52216;6594.31;440060850;6286;3184225;8.71;23812.1943;14114;21187;24862;11
408;Kab. Mamasa;Sulawesi Barat;Area 4;Sulawesi;13/168;2974;18364;66.02;163130;3005.88;495966812;7747;2571328;21.86;76514.7768;23944;;82427;15
409;Kab. Boalemo;Gorontalo;Area 4;Sulawesi;-/82;5413;32406;65.91;145615;1521.88;428873901;8789;2788826;31.63;75454;50312;106742;106742;40
410;Kota Pontianak;Kalimantan Barat;Area 4;Kalimantan;29/-;38932;60205;79.44;657658;107.8;661544956;14465;2515000;30.7;261653;430597;541674;541674;662
411;Kab. Kotawaringin Barat;Kalimantan Tengah;Area 4;Kalimantan;13/81;19335;61790;72.87;270135;10759;604341284;13109;3047533;11.46;166183;151633;176562;222670;371
412;Kab. Manokwari;Papua Barat;Area 4;Malpua;9/164;10078;57532;72.01;192410;3186.28;501716434;12207;0;35.92;85225.2156;102397;125556;144052;125
413;Kota Kendari;Sulawesi Tenggara;Area 4;Sulawesi;64/-;22245;56628;83.53;345341;300.89;643432736;14335;1885078;17.46;171426;219138;245677;#VALUE!;420
414;Kab. Poso;Sulawesi Tengah;Area 4;Sulawesi;28/141;9506;37075;71.28;244622;7112.25;685769750;8936;no data;40.2;147614;98784;142206;190665;159
415;Kab. Teluk Wondama;Papua Barat;Area 4;Malpua;1/75;1563;48053;60.21;41391;3959.53;426228683;8219;3184225;10.22;15049.0525;17670;22540;26226;8
416;Kab. Waropen;Papua;Area 4;Malpua;-/100;2048;64974;64.94;33690;10977.09;533813787;6732;3516700;9.44;13182;9939;16255;18127;7
417;Kab. Kolaka Timur;Sulawesi Tenggara;Area 4;Sulawesi;16/117;4427;22953;67.02;120446;3634.74;384572762;7727;1822158;26.38;99937;53767;71042;#VALUE!;33
418;Kab. Sanggau;Kalimantan Barat;Area 4;Kalimantan;16/390;19271;40982;65.77;485070;12857.8;750488162;8245;2515262;21.16;10202;186282;295821;295821;296
419;Kab. Buru Selatan;Maluku;Area 4;Malpua;0/79;1406;22205;64.69;75157;3780.56;405165999;7566;4200279;10.07;30160;10730;23789;41846;9
420;Kab. Buton;Sulawesi Tenggara;Area 4;Sulawesi;95;3806;37087;65.98;114954;1212.99;401791686;7307;1603404;13.68;42654;35943;57723;#VALUE!;76
421;Kab. Wajo;Sulawesi Selatan;Area 4;Sulawesi;48/142;19839;49870;69.15;379313;2056.2;681631121;12386;3103800;27.69;183804;165210;235547;312995;274
422;Kab. Pulau Morotai;Maluku Utara;Area 4;Malpua;0/88;1533;22782;62.5;74183;2476;365535460;6290;4200479;4.43;36639.7056;15280;35524;15280;16
423;Kab. Kutai Kartanegara;Kalimantan Timur;Area 4;Kalimantan;44/193;162739;207015;73.59;728355;23601.91;452961957;10720;3179673;58.42;377924;394732;494728;579299;697
424;Kab. Mamuju;Sulawesi Barat;Area 4;Sulawesi;13/88;11731;39993;68.15;278511;4999.69;600303844;9500;2571328;20.65;133867.053;103037;;191272;97
425;Kota Sorong;Papua Barat;Area 4;Malpua;52/-;15865;62389;78.45;284157;656.64;468463160;13954;3184225;38.91;112446.6408;173314;204816;232002;165
426;Kab. Pulau Taliabu;Maluku Utara;Area 4;Malpua;0/71;1452;27378;60.48;57794;22738;332146239;6290;4200479;3.89;33292;15280;32531;12587;10
427;Kab. Tojo Una-Una;Sulawesi Tengah;Area 4;Sulawesi;12/134;5713;37099;64.59;163576;5721.15;552080735;7608;no data;25.43;83898;45935;73269;97295;49
428;Kab. Tana Tidung;Kalimantan Utara;Area 4;Kalimantan;0/32;5786;200017;66.97;25331;4828.58;413506614;7381;3113400;1.46;13496;14299;16783;18726;16
429;Kab. Sigi;Sulawesi Tengah;Area 4;Sulawesi;-/176;8987;37537;68.12;257332;5196.02;589752115;8236;no data;30;123819;82130;119021;161306;165
430;Kota Ternate;Maluku Utara;Area 4;Malpua;77/-;10758;46132;79.82;204748;111.39;602070200;13091;4200479;8.18;99106.1904;126786;163905;126786;98
431;Kota Tidore Kepulauan;Maluku Utara;Area 4;Malpua;40/49;2899;28587;70.53;114227;1645.73;515610810;8188;4200479;6.66;63649.3284;44291;83149;44291;41
432;Kota Singkawang;Kalimantan Barat;Area 4;Kalimantan;26/0;10256;46009;71.94;234811;547.5;467470514;11650;2537875;10.23;116464;135330;180595;180595;233
433;Kab. Bombana;Sulawesi Tenggara;Area 4;Sulawesi;22/121;6431;34841;66.05;150453;3001;456475139;8234;1380536;18.84;87464;59094;85276;#VALUE!;64
434;Kab. Kepulauan Yapen;Papua;Area 4;Malpua;5/160;4240;41891;67.66;112423;2050;522738652;7484;3516700;27.04;50209;36630;51786;61730;16
435;Kab. Donggala;Sulawesi Tengah;Area 4;Sulawesi;9/158;12261;40317;65.56;300670;4275.08;627024200;8106;no data;53.17;138929;94344;139603;191854;109
436;Kab. Keerom;Papua;Area 4;Malpua;-/91;2855;50001;66.4;61370;8390;502722947;8910;3516700;9.42;32095;18581;30874;33630;34
437;Kab. Kaimana;Papua Barat;Area 4;Malpua;2/84;2788;46303;65;62003;16241.84;574547299;8325;3184225;9.52;29502.1116;27828;32986;36567;14
438;Kab. Kepulauan Aru;Maluku;Area 4;Malpua;2/117;3476;36167;63.71;101984;8152.42;559785012;7586;4200279;25.45;45642;20966;37871;48558;14
439;Kab. Kutai Timur;Kalimantan Timur;Area 4;Kalimantan;2/139;133725;355547;73;434693;35747.5;571773275;10485;3140000;36.98;188148;254736;58961;254736;315
440;Kab. Boven Digoel;Papua;Area 4;Malpua;-/112;4892;70677;61.53;64032;27108;762608266;7947;3516700;13.86;35538;14230;27988;30815;11
441;Kab. Kotabaru;Kalimantan Selatan;Area 4;Kalimantan;4/198;24180;70658;68.86;325856;9482.73;591870214;11207;3034828;14.6;153439;141159;191539;237271;200
442;Kota Tual;Maluku;Area 4;Malpua;3/027;2458;32527;67.96;88027;254.39;370628836;7531;4200279;17.36;33034;32933;45026;57969;29
443;Kab. Sukamara;Kalimantan Tengah;Area 4;Kalimantan;3/097;4194;65175;68.03;63211;16404;389882723;8674;3088502;2.13;31712;32784;42379;48246;31
444;Kab. Seram Bagian Timur;Maluku;Area 4;Malpua;0/198;2905;25328;64.12;137719;6429.88;506174564;9453;4200279;26.69;53189;31756;58241;103395;18
445;Kab. Manokwari Selatan;Papua Barat;Area 4;Malpua;-/57;835;34486;59.84;35696;2812.44;322971817;5505;3184225;7.09;13452.9021;19285;23647;27130;no data
446;Kab. Tabalong;Kalimantan Selatan;Area 4;Kalimantan;10/121;18047;70961;72.19;253052;3766.97;461740456;11283;2971632;14.7;125637;123961;158725;185758;188
447;Kab. Tanah Bumbu;Kalimantan Selatan;Area 4;Kalimantan;5/144;20065;55707;70.71;322880;5006.96;438026626;11718;2886366;16.83;160365;167306;201309;255915;271
448;Kab. Buru;Maluku;Area 4;Malpua;0/82;2404;16731;68.95;134985;4932.32;482604098;10316;4200279;24.42;72305;40893;62719;81275;54
449;Kab. Puncak Jaya;Papua;Area 4;Malpua;3/302;1407;10880;48.37;224274;4989.51;704292072;5282;3516700;46.07;76040;8127;45476;60526;3
450;Kab. Mahakam Ulu;Kalimantan Timur;Area 4;Kalimantan;0/50;2718;103062;67.09;32260;15315;453136962;7524;3309000;3.26;13203;11417;3859;11417;19
451;Kab. Tanah Laut;Kalimantan Selatan;Area 4;Kalimantan;5/130;13930;40507;69.38;349200;3631.35;505605530;11207;2877448;14.79;165710;167756;38852;218988;312
452;Kab. Pegunungan Arfak;Papua Barat;Area 4;Malpua;-/166;198;6398;56.33;37954;2773.74;349305628;5099;3184225;10.68;20204.261;3567;12924;14828;no data
453;Kab. Pasang Kayu;Sulawesi Barat;Area 4;Sulawesi;4/59;10216;58552;67.27;188608;3043.75;460581283;8414;2571328;9.25;84512.169;76147;;138942;72
454;Kab. Teluk Bintuni;Papua Barat;Area 4;Malpua;2/115;31392;487415;64.55;86830;20840.83;505009267;9974;3184225;19.22;30021.4332;37827;48251;56142;33
455;Kab. Raja Ampat;Papua Barat;Area 4;Malpua;4/117;2949;60811;63.89;63888;8034.44;647093633;8014;3184225;8.32;22092.8202;16841;32357;37044;13
456;Kab. Buol;Sulawesi Tengah;Area 4;Sulawesi;7/108;5885;36289;67.82;145001;4043.57;485229562;8079;2585674;22.93;79299;44347;59210;88504;40
457;Kab. Paser;Kalimantan Timur;Area 4;Kalimantan;5/139;48176;168509;72.04;275199;7730.88;384896323;10344;0;26.77;137737;137228;94492;137203;236
458;Kab. Penajam Paser Utara;Kalimantan Timur;Area 4;Kalimantan;24/30;9087;56475;71.41;178428;3333.06;277611967;11231;3363809;11.93;74946;103636;12239;103636;153
459;Kota Balikpapan;Kalimantan Timur;Area 4;Kalimantan;34/-;102389;156277;80.01;687291;527;437726788;14549;3063915;17.02;324635;478364;104523;478364;986
460;Kab. Seruyan;Kalimantan Tengah;Area 4;Kalimantan;3/029;8565;41601;67.58;162653;3827;567765658;9370;3193750;14.53;103243;78480;104778;120563;122
461;Kota Ambon;Maluku;Area 4;Malpua;20/030;14839;31003;80.84;347522;298.61;635403609;14166;4200279;22.15;218302;219769;98316;242105;278
462;Kota Bontang;Kalimantan Timur;Area 4;Kalimantan;15/-;58479;329050;80.02;178664;406.7;231143244;16278;3182706;7.91;86891;124543;33427;124543;208
463;Kab. Supiori;Papua;Area 4;Malpua;-/38;1006;48564;62.3;22294;678.32;417661447;5677;3516700;7.78;9276;5044;9288;11244;8
464;Kab. Tapin;Kalimantan Selatan;Area 4;Kalimantan;9/126;8372;43747;70.11;189222;2700.82;426224950;11841;2877448;5.9;94390;86210;114476;131866;131
465;Kota Banjar Baru;Kalimantan Selatan;Area 4;Kalimantan;20/-;9744;37088;79.1;253189;371;421090093;13675;2877448;10.75;115983;171044;67591;182739;426
466;Kota Banjarmasin;Kalimantan Selatan;Area 4;Kalimantan;52/-;33042;46630;77.1;656636;72;674930481;14306;2948576;31.31;319572;422717;201377;464327;645
467;Kab. Sorong;Papua Barat;Area 4;Malpua;26/226;11082;124617;65.74;118426;6544.23;502914153;7495;3184225;24.89;42643.7364;51881;70618;92208;46
468;Kab. Biak Numfor;Papua;Area 4;Malpua;14/254;5476;35932;72.19;134397;2602;544038318;9705;3516700;38.02;64959;46188;68314;81077;60
469;Kab. Luwu Timur;Sulawesi Selatan;Area 4;Sulawesi;3/124;20997;70066;73.22;296975;6944.88;512404165;12814;3103800;20.82;131634;106599;158721;227700;165
470;Kab. Mimika;Papua;Area 4;Malpua;19/133;54832;249588;74.19;312203;21633;563432699;11431;3516700;31.75;102942;155423;178997;206384;188
471;Kota Samarinda;Kalimantan Timur;Area 4;Kalimantan;59/-;68571;78567;80.11;826967;783;675500904;11728;3112156;41.92;428353;552545;620305;695398;974
472;Kab. Muna Barat;Sulawesi Tenggara;Area 4;Sulawesi;86;2589;18676;65.08;84337;1022.89;341651382;7485;1161283;11.32;31932;21067;38241;#VALUE!;no data
473;Kab. Timor Tengah Selatan;Nusa Tenggara Timur;Area 5;Balnus;12/266;7938;16963;62.15;455644;3947;716929579;6861;1950000;128.98;331364;82211;144266;266874;103
474;Kab. Klungkung;Bali;Area 5;Balnus;6/53;9120;50927;71.73;206672;315;505586391;11376;2538000;8.76;101058;102428;121697;138759;186
475;Kab. Sikka;Nusa Tenggara Timur;Area 5;Balnus;13/147;5124;15992;65.11;322187;1731.9;590110914;8081;1950000;42.18;237911;100658;129837;249581;105
476;Kab. Sumbawa;Nusa Tenggara Barat;Area 5;Balnus;8/157;14811;32363;67.61;509987;6643.98;792884646;9146;2201613;62.88;230507;190068;282234;377080;312
477;Kab. Bangli;Bali;Area 5;Balnus;4/68;6999;30794;69.36;258468;490.71;538001454;11268;2494810;9.56;143650;111241;143816;163773;181
478;Kab. Buleleng;Bali;Area 5;Balnus;19/129;35509;53756;72.55;790786;1364.73;910488837;13463;2538000;35.25;362851;340285;448968;587225;503
479;Kab. Tabanan;Bali;Area 5;Balnus;-/133;23886;53590;76.17;461864;1013.88;763334805;14494;2625216;19.11;265435;293464;293464;335059;425
480;Kab. Gianyar;Bali;Area 5;Balnus;6/64;28581;55804;77.36;515578;368;652219599;14544;2627000;21.01;270591;298622;335372;389269;556
481;Kab. Karangasem;Bali;Area 5;Balnus;3/75;17107;41060;67.35;492636;839.54;716253373;10237;2555469;24.69;252869;183909;245805;341084;273
482;Kota Mataram;Nusa Tenggara Barat;Area 5;Balnus;50/-;19484;40032;78.91;429885;61.3;582765685;14968;2184485;41.8;244766;263220;271708;361709;453
483;Kab. Belu;Nusa Tenggara Timur;Area 5;Balnus;12/69;4481;20356;62.68;217720;1284.97;476169938;7479;1950000;34.18;156101;68944;89921;147608;97
484;Kab. Badung;Bali;Area 5;Balnus;16/46;62795;93692;81.6;548425;418.62;335170598;17503;2930092;13.75;367619;372994;394327;422515;1612
485;Kab. Lombok Timur;Nusa Tenggara Barat;Area 5;Balnus;15/239;20306;16913;66.3;1324213;1230.76;1091094297;9409;2184197;183.84;582812;499795;639742;966522;577
486;Kab. Jembrana;Bali;Area 5;Balnus;10/41;14162;50919;72.36;317298;841.8;525591005;11790;2557102;12.6;158203;148606;189634;241117;255
487;Kab. Alor;Nusa Tenggara Timur;Area 5;Balnus;17/158;3055;14860;61.33;211619;2864.6;572919255;6786;1950000;43.55;147051;59455;80247;124619;93
488;Kab. Manggarai Timur;Nusa Tenggara Timur;Area 5;Balnus;17/159;3212;11183;60.85;275350;2642.93;491172097;5818;1950000;76.69;196862;40802;75681;175749;47
489;Kab. Bima;Nusa Tenggara Barat;Area 5;Balnus;-/191;11645;23834;66.3;514339;3405.63;846199889;8468;2229880;71.32;248447;148628;248843;394507;183
490;Kota Denpasar;Bali;Area 5;Balnus;16/27;55676;58785;83.93;724287;127.78;623672157;19723;2770300;20.48;501143;571366;571366;621785;1451
491;Kab. Dompu;Nusa Tenggara Barat;Area 5;Balnus;9/27;7173;28433;67.84;236412;2391.54;545996418;8889;2187562;30.97;121614;75198;118224;172642;124
492;Kab. Ende;Nusa Tenggara Timur;Area 5;Balnus;23/255;6107;22294;67.04;270510;2046.5;599004483;9094;1950000;65.22;203648;86851;115576;202751;81
493;Kab. Manggarai;Nusa Tenggara Timur;Area 5;Balnus;26/145;4680;13828;64.54;313089;2096.44;561139653;7203;1950000;69.52;234012;81642;112070;232750;78
494;Kab. Sumba Barat;Nusa Tenggara Timur;Area 5;Balnus;11/63;2334;17998;63.53;144844;737.42;379392302;7321;1950000;36.95;88572;31819;42680;69418;43
495;Kab. Sumba Tengah;Nusa Tenggara Timur;Area 5;Balnus;-/65;1177;16168;61.53;85229;1868.74;333876062;6108;1950000;25.37;49396;14290;22687;41652;18
496;Kab. Flores Timur;Nusa Tenggara Timur;Area 5;Balnus;21/229;5252;20523;64.22;276643;1813.2;595654496;7631;1950000;27.89;186702;91049;123594;195790;94
497;Kab. Malaka;Nusa Tenggara Timur;Area 5;Balnus;-/127;2778;14475;60.21;183645;1160.63;430115689;5901;1950000;31.12;134158;41830;79016;133622;64
498;Kab. Sumba Timur;Nusa Tenggara Timur;Area 5;Balnus;16/140;6257;24207;65.52;244567;7000.5;605609005;9406;1950000;77.3;185220;70375;85921;156895;88
499;Kota Kupang;Nusa Tenggara Timur;Area 5;Balnus;51/-;24559;56462;79.71;442992;180.27;623856772;13337;0;39.72;347641;287506;296422;368629;288
500;Kab. Nagekeo;Nusa Tenggara Timur;Area 5;Balnus;16/97;2241;15367;65.81;159479;1416.96;414631577;8309;1950000;18.51;105599;38060;65438;102121;54
501;Kab. Timor Tengah Utara;Nusa Tenggara Timur;Area 5;Balnus;33/160;4083;16066;63.53;259576;2669.7;565758346;6364;1950000;56.98;181725;69580;101860;179017;113
502;Kota Bima;Nusa Tenggara Barat;Area 5;Balnus;38/-;4274;24699;75.81;154887;222.25;442038321;11105;2225000;14.66;94970;82092;93724;132132;74
503;Kab. Manggarai Barat;Nusa Tenggara Timur;Area 5;Balnus;5/164;3467;12621;63.89;256064;2397.03;502486188;7468;1950000;49.4;188310;60683;89558;170812;97
504;Kab. Lombok Tengah;Nusa Tenggara Barat;Area 5;Balnus;12/127;17881;18872;66.43;1033832;1095.03;957311642;9952;2192987;128.1;518563;407481;500386;763021;453
505;Kab. Ngada;Nusa Tenggara Timur;Area 5;Balnus;16/135;3474;21284;67.88;165001;1645.88;448202354;8865;1950000;20.62;117316;51134;70299;109130;67
506;Kab. Sabu Raijua;Nusa Tenggara Timur;Area 5;Balnus;5/58;1424;14623;57.02;89074;460.54;341460889;5265;1950000;30.14;68608;24637;29965;44390;13
507;Kab. Lombok Utara;Nusa Tenggara Barat;Area 5;Balnus;-/33;4868;22085;64.42;247147;776.25;378529590;9006;2186053;59.86;117484;73306;108073;167601;164
508;Kab. Sumba Barat Daya;Nusa Tenggara Timur;Area 5;Balnus;2/173;3755;10893;62.28;303884;1480.46;462481864;6372;1950000;97.81;223749;45033;76427;166545;67
509;Kab. Lembata;Nusa Tenggara Timur;Area 5;Balnus;7/144;1859;12993;64.74;135677;1266;445274975;7305;1950000;37.92;105130;36745;61162;94187;60
510;Kab. Lombok Barat;Nusa Tenggara Barat;Area 5;Balnus;3/119;15461;22247;68.2;720454;896.56;730289354;11304;2184425;100.25;342531;287120;349526;526440;400
511;Kab. Rote Ndao;Nusa Tenggara Timur;Area 5;Balnus;7/112;3136;18224;62.39;143511;1280;424607949;6539;1950000;48.77;129165;44361;61841;96422;54
512;Kab. Kupang;Nusa Tenggara Timur;Area 5;Balnus;17/160;7710;19105;64.32;366617;5434.76;635495332;7526;1950000;94.94;277213;103355;153091;251540;166
513;Kab. Sumbawa Barat;Nusa Tenggara Barat;Area 5;Balnus;7/57;17583;118321;71.63;145545;1849.02;376608234;11536;2278710;20.2;74262;76000;83356;117796;121
